provider_id,specialty,category,county,county_type,latitude,longitude,panel_capacity,accepting_new_patients,next_available_appt_days,telehealth_available
PRV-1222,Primary Care,Primary Care,North Metro,Urban,40.13654,-84.9549,1630,True,4,False
PRV-1223,Primary Care,Primary Care,North Metro,Urban,40.22855,-84.92875,1579,True,4,False
PRV-1224,Primary Care,Primary Care,North Metro,Urban,40.14191,-84.98981,1371,True,5,True
PRV-1225,Primary Care,Primary Care,North Metro,Urban,40.20049,-84.92078,1807,True,1,True
PRV-1226,Primary Care,Primary Care,North Metro,Urban,40.20074,-84.84862,1610,True,4,True
PRV-1227,OB/GYN,Primary Care,North Metro,Urban,40.03934,-84.86343,1188,True,4,True
PRV-1228,OB/GYN,Primary Care,North Metro,Urban,40.13623,-84.89732,1553,True,11,True
PRV-1229,OB/GYN,Primary Care,North Metro,Urban,40.1767,-84.85204,1429,True,17,False
PRV-1230,OB/GYN,Primary Care,North Metro,Urban,40.19172,-84.93306,1443,True,7,False
PRV-1231,OB/GYN,Primary Care,North Metro,Urban,40.13932,-84.88807,1572,False,34,False
PRV-1232,OB/GYN,Primary Care,North Metro,Urban,40.18279,-84.87429,1754,True,16,False
PRV-1233,OB/GYN,Primary Care,North Metro,Urban,40.2025,-84.85533,1532,True,3,True
PRV-1234,OB/GYN,Primary Care,North Metro,Urban,40.24507,-85.02591,1454,True,15,True
PRV-1235,OB/GYN,Primary Care,North Metro,Urban,40.03515,-84.8811,1473,True,3,False
PRV-1236,OB/GYN,Primary Care,North Metro,Urban,40.13835,-84.9504,1413,True,17,False
PRV-1237,OB/GYN,Primary Care,North Metro,Urban,40.20331,-85.02559,2037,True,13,True
PRV-1238,OB/GYN,Primary Care,North Metro,Urban,40.2879,-84.84852,1500,True,5,True
PRV-1239,OB/GYN,Primary Care,North Metro,Urban,40.17464,-85.01588,1448,True,9,True
PRV-1240,OB/GYN,Primary Care,North Metro,Urban,40.20187,-84.96356,1269,True,7,True
PRV-1241,OB/GYN,Primary Care,North Metro,Urban,40.14163,-84.88159,1468,True,6,False
PRV-1242,OB/GYN,Primary Care,North Metro,Urban,40.08565,-85.00292,1592,True,6,False
PRV-1243,OB/GYN,Primary Care,North Metro,Urban,40.07574,-84.90778,1531,True,4,True
PRV-1244,OB/GYN,Primary Care,North Metro,Urban,40.29417,-84.94721,1463,True,10,False
PRV-1245,Behavioral Health,Behavioral,North Metro,Urban,40.21846,-84.92679,821,True,6,False
PRV-1246,Behavioral Health,Behavioral,North Metro,Urban,40.0997,-84.85716,1159,False,4,False
PRV-1247,Behavioral Health,Behavioral,North Metro,Urban,40.12357,-84.95176,887,True,13,True
PRV-1248,Behavioral Health,Behavioral,North Metro,Urban,40.09348,-84.95099,874,True,20,False
PRV-1249,Behavioral Health,Behavioral,North Metro,Urban,40.15668,-84.83136,990,True,16,False
PRV-1250,Behavioral Health,Behavioral,North Metro,Urban,40.19883,-84.9495,816,True,20,True
PRV-1251,Behavioral Health,Behavioral,North Metro,Urban,40.24595,-84.88227,760,True,29,True
PRV-1252,Behavioral Health,Behavioral,North Metro,Urban,40.13334,-84.9578,880,False,6,False
PRV-1253,Behavioral Health,Behavioral,North Metro,Urban,40.12493,-84.75143,725,True,9,True
PRV-1254,Behavioral Health,Behavioral,North Metro,Urban,40.19781,-85.00081,1097,False,14,True
PRV-1255,Behavioral Health,Behavioral,North Metro,Urban,40.03382,-84.979,1049,True,18,False
PRV-1256,Behavioral Health,Behavioral,North Metro,Urban,40.24093,-85.0195,859,True,12,False
PRV-1257,Behavioral Health,Behavioral,North Metro,Urban,40.16036,-84.92888,894,True,8,True
PRV-1258,Behavioral Health,Behavioral,North Metro,Urban,40.15542,-84.91446,899,True,3,True
PRV-1259,Behavioral Health,Behavioral,North Metro,Urban,40.06283,-85.03843,922,True,14,True
PRV-1260,Behavioral Health,Behavioral,North Metro,Urban,40.23596,-84.89096,1003,True,10,True
PRV-1261,Behavioral Health,Behavioral,North Metro,Urban,40.12722,-84.87957,781,True,20,True
PRV-1262,Behavioral Health,Behavioral,North Metro,Urban,40.18344,-84.98704,911,True,15,False
PRV-1263,Behavioral Health,Behavioral,North Metro,Urban,40.2687,-84.97404,1018,True,8,False
PRV-1264,Behavioral Health,Behavioral,North Metro,Urban,40.05774,-84.91804,989,True,5,True
PRV-1265,Behavioral Health,Behavioral,North Metro,Urban,40.16204,-84.87967,877,True,16,False
PRV-1266,Behavioral Health,Behavioral,North Metro,Urban,40.09618,-84.88066,1038,True,6,False
PRV-1267,Cardiology,Specialty,North Metro,Urban,40.16746,-84.87929,1356,True,8,True
PRV-1268,Cardiology,Specialty,North Metro,Urban,40.10834,-84.98387,1525,True,2,False
PRV-1269,Cardiology,Specialty,North Metro,Urban,40.22349,-84.83467,838,True,8,True
PRV-1270,Cardiology,Specialty,North Metro,Urban,40.19198,-85.01367,1059,True,14,False
PRV-1271,Cardiology,Specialty,North Metro,Urban,40.16402,-84.9549,1119,True,3,True
PRV-1272,Cardiology,Specialty,North Metro,Urban,40.24428,-84.88382,991,False,9,True
PRV-1273,Cardiology,Specialty,North Metro,Urban,40.15181,-84.89387,1299,True,6,True
PRV-1274,Cardiology,Specialty,North Metro,Urban,39.99714,-84.95696,936,False,18,True
PRV-1275,Cardiology,Specialty,North Metro,Urban,40.06471,-84.85226,1095,True,10,False
PRV-1276,Cardiology,Specialty,North Metro,Urban,40.22395,-85.02315,1432,True,8,True
PRV-1277,Cardiology,Specialty,North Metro,Urban,40.178,-84.98972,970,True,6,True
PRV-1278,Cardiology,Specialty,North Metro,Urban,40.04918,-84.94278,1036,False,2,True
PRV-1279,Cardiology,Specialty,North Metro,Urban,40.18338,-84.90528,1238,True,2,False
PRV-1280,Cardiology,Specialty,North Metro,Urban,40.10784,-84.93718,1084,True,7,False
PRV-1281,Cardiology,Specialty,North Metro,Urban,40.13594,-84.89089,1122,True,12,True
PRV-1282,Cardiology,Specialty,North Metro,Urban,40.1616,-84.91372,1338,True,25,False
PRV-1283,Endocrinology,Specialty,North Metro,Urban,40.2745,-84.89068,1105,True,14,True
PRV-1284,Endocrinology,Specialty,North Metro,Urban,40.16261,-84.9081,875,True,8,True
PRV-1285,Endocrinology,Specialty,North Metro,Urban,40.1939,-84.86209,1150,True,14,True
PRV-1286,Endocrinology,Specialty,North Metro,Urban,40.31285,-84.94712,1141,True,8,True
