county,county_type,specialty,members_sampled,pct_distance_compliant,pct_wait_compliant,pct_fully_compliant,avg_nearest_distance,avg_nearest_wait,providers_per_1000,min_providers_per_1000,ratio_pass,gap_score
Cedar Ridge Cty,Rural,Dermatology,250,100.0,85.6,85.6,18.9,17.4,0.347,0.04,True,-15.599999999999994
Cedar Ridge Cty,Rural,Behavioral Health,250,98.0,88.4,86.4,16.4,12.8,0.347,0.15,True,-16.400000000000006
East Suburban,Suburban,Orthopedics,250,100.0,86.4,86.4,3.8,8.4,0.781,0.09,True,-16.400000000000006
North Metro,Urban,Endocrinology,250,100.0,86.8,86.8,2.7,13.3,1.339,0.08,True,-16.799999999999997
East Suburban,Suburban,Dermatology,250,100.0,88.4,88.4,4.6,15.4,0.651,0.08,True,-18.400000000000006
Millbrook County,Rural,Primary Care,250,97.6,90.8,88.4,9.6,7.0,2.679,0.45,True,-18.400000000000006
Prairie County,Rural,Behavioral Health,250,97.6,90.4,88.4,17.0,11.5,0.347,0.15,True,-18.400000000000006
Central Metro,Urban,Primary Care,250,100.0,88.8,88.8,0.9,6.3,3.795,0.55,True,-18.799999999999997
North Metro,Urban,Orthopedics,250,100.0,88.8,88.8,2.6,6.6,1.786,0.1,True,-18.799999999999997
Central Metro,Urban,Orthopedics,250,100.0,90.8,90.8,2.4,8.4,0.893,0.1,True,-20.799999999999997
Prairie County,Rural,Cardiology,250,98.8,92.8,91.6,22.8,5.8,0.347,0.08,True,-21.599999999999994
Central Metro,Urban,Oncology,250,100.0,92.4,92.4,2.8,5.2,0.595,0.06,True,-22.400000000000006
Millbrook County,Rural,Cardiology,250,100.0,94.0,94.0,17.7,10.4,0.298,0.08,True,-24.0
North Metro,Urban,Primary Care,250,100.0,94.0,94.0,1.4,5.8,7.44,0.55,True,-24.0
North Metro,Urban,Cardiology,250,100.0,94.8,94.8,2.6,8.6,1.935,0.15,True,-24.799999999999997
Prairie County,Rural,OB/GYN,250,98.4,96.8,95.2,15.5,11.1,0.347,0.12,True,-25.200000000000003
East Suburban,Suburban,General Surgery,250,100.0,96.0,96.0,5.5,7.0,0.521,0.07,True,-26.0
East Suburban,Suburban,Oncology,250,100.0,97.2,97.2,5.7,4.9,0.391,0.05,True,-27.200000000000003
East Suburban,Suburban,Cardiology,250,100.0,98.0,98.0,4.2,9.3,1.042,0.12,True,-28.0
North Metro,Urban,General Surgery,250,100.0,98.0,98.0,2.5,7.2,1.339,0.08,True,-28.0
South Suburban,Suburban,Oncology,250,100.0,98.8,98.8,5.5,4.2,0.417,0.05,True,-28.799999999999997
Cedar Ridge Cty,Rural,Orthopedics,250,99.6,99.2,98.8,24.0,13.3,0.347,0.05,True,-28.799999999999997
Prairie County,Rural,Dermatology,250,100.0,98.8,98.8,22.2,11.7,0.347,0.04,True,-28.799999999999997
Millbrook County,Rural,Orthopedics,250,99.6,99.6,99.2,19.3,8.3,0.298,0.05,True,-29.200000000000003
West Suburban,Suburban,Oncology,250,100.0,99.6,99.6,5.7,5.7,0.481,0.05,True,-29.599999999999994
Cedar Ridge Cty,Rural,Cardiology,250,100.0,100.0,100.0,17.3,10.6,0.347,0.08,True,-30.0
North Metro,Urban,Oncology,250,100.0,100.0,100.0,2.7,4.0,1.19,0.06,True,-30.0
Millbrook County,Rural,General Surgery,250,100.0,100.0,100.0,15.7,7.4,0.298,0.04,True,-30.0
Prairie County,Rural,Orthopedics,250,100.0,100.0,100.0,16.4,13.1,0.347,0.05,True,-30.0
Prairie County,Rural,General Surgery,250,100.0,100.0,100.0,16.6,5.4,0.347,0.04,True,-30.0
